CustomerID,Age,Gender,Location,SubscriptionDurationMonths,MonthlyCharges,ContractType,PaymentMethod,OnlineSecurity,TechSupport,StreamingTV,StreamingMovies,TotalCharges,Churn
CUST-0001,47,Female,Chicago,36,92.36,Month-to-month,Mailed check,No,Yes,Yes,Yes,3345.61,0
CUST-0002,67,Female,Phoenix,47,29.28,Month-to-month,Credit card (automatic),Yes,Yes,No,No internet service,1441.35,0
CUST-0003,41,Female,Los Angeles,16,116.36,Month-to-month,Bank transfer (automatic),No internet service,Yes,Yes,No internet service,1913.59,1
CUST-0004,26,Male,Los Angeles,54,115.28,Month-to-month,Credit card (automatic),No,No,Yes,No,6230.24,1
CUST-0005,71,Female,Chicago,37,103.27,One year,Electronic check,No internet service,Yes,Yes,Yes,3874.93,0
CUST-0006,72,Female,Phoenix,9,48.3,Month-to-month,Electronic check,No,Yes,No internet service,No internet service,372.61,1
CUST-0007,28,Male,New York,40,20.09,Month-to-month,Mailed check,No,No,Yes,Yes,791.03,0
CUST-0008,33,Female,Houston,14,101.38,Month-to-month,Bank transfer (automatic),No,No,No,Yes,1418.67,0
CUST-0009,30,Female,Houston,60,40.21,Month-to-month,Bank transfer (automatic),Yes,No,Yes,No,2460.69,0
CUST-0010,71,Male,Chicago,48,39.65,Month-to-month,Mailed check,No,No,No,No,1912.89,0
CUST-0011,53,Female,Phoenix,32,105.3,Two year,Bank transfer (automatic),No,No,Yes,No,3402.28,0
CUST-0012,46,Male,New York,24,25.2,Month-to-month,Electronic check,No internet service,No internet service,Yes,No,667.44,1
CUST-0013,52,Female,Phoenix,7,97.77,Month-to-month,Bank transfer (automatic),No,No,No internet service,No internet service,662.92,0
CUST-0014,79,Male,Chicago,13,52.43,One year,Credit card (automatic),Yes,No internet service,No,No,686.25,0
CUST-0015,45,Female,Houston,35,83.33,One year,Bank transfer (automatic),No,No,No,Yes,2881.3,0
CUST-0016,57,Female,New York,68,68.62,Month-to-month,Electronic check,No internet service,No,Yes,Yes,4600.12,0
CUST-0017,65,Male,Houston,45,39.23,Month-to-month,Electronic check,No internet service,No internet service,No internet service,Yes,1676.24,0
CUST-0018,77,Male,Los Angeles,64,42.55,One year,Bank transfer (automatic),No,No,No,No internet service,2671.46,0
CUST-0019,75,Female,Chicago,3,100.39,Month-to-month,Credit card (automatic),No,No internet service,No internet service,No,281.42,1
CUST-0020,62,Female,Chicago,68,73.78,Two year,Electronic check,No internet service,No internet service,No,Yes,4949.52,0
